date,Alfredo Sauce,Anchovies,Artichoke,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Nduja Salami,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomatoes,Zucchini
2016-01-15,3.0,1.0,38.0,8.0,16.0,8.0,8.0,8.0,9.0,6.0,0.0,1.0,19.0,0.0,38.0,16.0,3.0,16.0,7.0,16.0,2.0,17.0,13.0,2.0,93.0,7.0,11.0,7.0,9.0,9.0,20.0,3.0,25.0,20.0,7.0,51.0,27.0,2.0,7.0,0.0,2.0,7.0,0.0,11.0,38.0,7.0,24.0,5.0,0.0,8.0,6.0,69.0,57.0,7.0,6.0,11.0,6.0,4.0,38.0,10.0,13.0,0.0,98.0,12.0
2016-01-16,4.0,5.0,43.0,4.0,9.0,13.0,15.0,15.0,10.0,12.0,0.0,2.0,22.0,0.0,47.0,20.0,3.0,20.0,6.0,20.0,3.0,31.0,15.0,7.0,131.0,3.0,17.0,8.0,15.0,20.0,24.0,3.0,35.0,14.0,6.0,51.0,42.0,7.0,6.0,7.0,7.0,8.0,0.0,10.0,45.0,17.0,15.0,2.0,0.0,4.0,12.0,96.0,82.0,8.0,12.0,2.0,12.0,0.0,59.0,13.0,13.0,0.0,131.0,10.0
2016-01-17,0.0,3.0,21.0,4.0,6.0,12.0,18.0,18.0,6.0,0.0,3.0,5.0,21.0,3.0,32.0,13.0,5.0,13.0,1.0,13.0,5.0,16.0,9.0,3.0,67.0,6.0,10.0,3.0,7.0,13.0,27.0,5.0,20.0,12.0,1.0,34.0,22.0,3.0,1.0,9.0,3.0,3.0,3.0,1.0,35.0,10.0,22.0,6.0,3.0,4.0,0.0,67.0,72.0,3.0,0.0,11.0,0.0,2.0,28.0,8.0,11.0,3.0,96.0,11.0
2016-01-18,2.0,6.0,33.0,4.0,15.0,11.0,15.0,15.0,4.0,6.0,0.0,10.0,22.0,0.0,30.0,17.0,2.0,17.0,7.0,17.0,6.0,9.0,22.0,2.0,118.0,8.0,4.0,10.0,15.0,24.0,22.0,2.0,32.0,9.0,7.0,56.0,30.0,2.0,7.0,0.0,2.0,10.0,0.0,4.0,49.0,13.0,10.0,0.0,0.0,4.0,6.0,79.0,62.0,10.0,6.0,6.0,6.0,7.0,37.0,3.0,4.0,0.0,101.0,11.0
2016-01-19,3.0,3.0,23.0,3.0,6.0,12.0,2.0,2.0,8.0,6.0,1.0,4.0,11.0,1.0,27.0,7.0,5.0,7.0,7.0,7.0,5.0,21.0,14.0,0.0,90.0,3.0,4.0,11.0,9.0,17.0,17.0,5.0,16.0,9.0,7.0,41.0,42.0,0.0,7.0,1.0,0.0,11.0,1.0,3.0,32.0,13.0,18.0,1.0,1.0,3.0,6.0,48.0,40.0,11.0,6.0,10.0,6.0,5.0,34.0,6.0,8.0,1.0,66.0,9.0
2016-01-20,4.0,6.0,44.0,14.0,26.0,15.0,6.0,6.0,6.0,24.0,2.0,10.0,43.0,2.0,25.0,12.0,4.0,12.0,13.0,12.0,4.0,20.0,23.0,1.0,163.0,12.0,21.0,9.0,11.0,36.0,14.0,4.0,23.0,18.0,13.0,72.0,47.0,1.0,13.0,7.0,1.0,9.0,2.0,14.0,48.0,9.0,10.0,2.0,2.0,14.0,24.0,77.0,54.0,9.0,24.0,6.0,24.0,12.0,44.0,5.0,4.0,2.0,121.0,8.0
2016-01-21,0.0,2.0,22.0,5.0,10.0,10.0,2.0,2.0,0.0,3.0,0.0,5.0,21.0,0.0,25.0,0.0,4.0,0.0,5.0,0.0,2.0,13.0,11.0,6.0,85.0,7.0,9.0,15.0,8.0,14.0,9.0,4.0,8.0,8.0,5.0,37.0,24.0,6.0,5.0,5.0,6.0,15.0,0.0,4.0,25.0,6.0,19.0,5.0,0.0,5.0,3.0,42.0,39.0,15.0,3.0,6.0,3.0,3.0,35.0,5.0,13.0,0.0,67.0,9.0
2016-01-22,7.0,9.0,37.0,0.0,13.0,11.0,15.0,15.0,3.0,15.0,1.0,8.0,21.0,1.0,37.0,7.0,4.0,7.0,6.0,7.0,11.0,17.0,10.0,3.0,120.0,4.0,9.0,5.0,10.0,23.0,26.0,4.0,17.0,7.0,6.0,44.0,37.0,3.0,6.0,0.0,3.0,5.0,1.0,9.0,29.0,22.0,27.0,2.0,1.0,0.0,15.0,81.0,71.0,5.0,15.0,17.0,15.0,0.0,43.0,5.0,10.0,1.0,104.0,17.0
2016-01-23,5.0,7.0,31.0,10.0,12.0,12.0,13.0,13.0,6.0,12.0,0.0,4.0,24.0,0.0,39.0,17.0,5.0,17.0,4.0,17.0,8.0,10.0,18.0,0.0,122.0,7.0,13.0,22.0,13.0,17.0,33.0,5.0,30.0,6.0,4.0,73.0,41.0,0.0,4.0,7.0,0.0,22.0,0.0,6.0,49.0,13.0,23.0,0.0,0.0,10.0,12.0,65.0,75.0,22.0,12.0,10.0,12.0,5.0,26.0,4.0,13.0,0.0,103.0,12.0
2016-01-24,5.0,14.0,24.0,13.0,21.0,13.0,9.0,9.0,4.0,15.0,1.0,14.0,31.0,1.0,27.0,15.0,3.0,15.0,7.0,15.0,4.0,17.0,6.0,3.0,125.0,11.0,6.0,5.0,2.0,41.0,21.0,3.0,17.0,13.0,7.0,45.0,40.0,3.0,7.0,2.0,3.0,5.0,1.0,4.0,39.0,13.0,17.0,4.0,1.0,13.0,15.0,92.0,68.0,5.0,15.0,4.0,15.0,4.0,35.0,9.0,13.0,1.0,126.0,10.0
2016-01-25,2.0,8.0,13.0,8.0,8.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,5.0,1.0,7.0,9.0,2.0,9.0,4.0,9.0,2.0,13.0,4.0,2.0,64.0,4.0,1.0,10.0,2.0,12.0,7.0,2.0,11.0,7.0,4.0,27.0,17.0,2.0,4.0,0.0,2.0,10.0,1.0,1.0,15.0,6.0,4.0,3.0,1.0,8.0,0.0,43.0,23.0,10.0,0.0,2.0,0.0,2.0,22.0,6.0,2.0,1.0,46.0,5.0
2016-01-26,3.0,3.0,28.0,3.0,10.0,10.0,5.0,5.0,11.0,12.0,1.0,3.0,18.0,1.0,40.0,13.0,3.0,13.0,8.0,13.0,2.0,25.0,9.0,5.0,98.0,7.0,8.0,8.0,9.0,19.0,12.0,3.0,22.0,15.0,8.0,42.0,27.0,5.0,8.0,2.0,5.0,8.0,1.0,6.0,33.0,12.0,20.0,4.0,1.0,3.0,12.0,63.0,53.0,8.0,12.0,6.0,12.0,0.0,37.0,11.0,14.0,1.0,98.0,6.0
2016-01-27,4.0,16.0,28.0,10.0,18.0,10.0,8.0,8.0,15.0,0.0,2.0,3.0,27.0,2.0,31.0,25.0,2.0,25.0,4.0,25.0,5.0,27.0,17.0,2.0,129.0,9.0,15.0,3.0,6.0,24.0,22.0,2.0,31.0,23.0,4.0,46.0,46.0,2.0,4.0,8.0,2.0,3.0,2.0,7.0,36.0,10.0,21.0,3.0,2.0,10.0,0.0,105.0,74.0,3.0,0.0,16.0,0.0,11.0,36.0,5.0,5.0,2.0,126.0,13.0
2016-01-28,2.0,2.0,20.0,0.0,8.0,13.0,25.0,25.0,10.0,6.0,0.0,5.0,24.0,0.0,20.0,6.0,4.0,6.0,3.0,6.0,2.0,23.0,17.0,0.0,87.0,6.0,13.0,2.0,8.0,12.0,33.0,4.0,14.0,10.0,3.0,34.0,41.0,0.0,3.0,5.0,0.0,2.0,0.0,8.0,33.0,6.0,15.0,0.0,0.0,0.0,6.0,72.0,59.0,2.0,6.0,9.0,6.0,9.0,27.0,2.0,6.0,0.0,86.0,4.0
2016-01-29,1.0,5.0,30.0,6.0,3.0,4.0,15.0,15.0,0.0,15.0,1.0,9.0,30.0,1.0,35.0,16.0,1.0,16.0,13.0,16.0,3.0,7.0,13.0,3.0,124.0,2.0,19.0,8.0,8.0,27.0,30.0,1.0,24.0,7.0,13.0,50.0,24.0,3.0,13.0,11.0,3.0,8.0,1.0,8.0,24.0,17.0,20.0,7.0,1.0,6.0,15.0,65.0,78.0,8.0,15.0,7.0,15.0,5.0,35.0,11.0,13.0,1.0,118.0,9.0
2016-01-30,10.0,0.0,36.0,14.0,19.0,18.0,21.0,21.0,10.0,6.0,1.0,10.0,24.0,1.0,39.0,15.0,3.0,15.0,4.0,15.0,8.0,16.0,19.0,5.0,118.0,5.0,9.0,16.0,16.0,16.0,26.0,3.0,31.0,16.0,4.0,48.0,37.0,5.0,4.0,6.0,5.0,16.0,1.0,3.0,35.0,12.0,14.0,2.0,1.0,14.0,6.0,96.0,88.0,16.0,6.0,4.0,6.0,3.0,32.0,5.0,10.0,1.0,109.0,10.0
2016-01-31,4.0,11.0,37.0,4.0,15.0,13.0,9.0,9.0,11.0,9.0,1.0,6.0,34.0,1.0,35.0,12.0,5.0,12.0,8.0,12.0,6.0,25.0,16.0,7.0,163.0,5.0,23.0,17.0,14.0,28.0,27.0,5.0,26.0,19.0,8.0,43.0,44.0,7.0,8.0,14.0,7.0,17.0,1.0,9.0,34.0,11.0,16.0,2.0,1.0,4.0,9.0,98.0,81.0,17.0,9.0,6.0,9.0,2.0,52.0,2.0,10.0,1.0,135.0,19.0
2016-02-01,5.0,8.0,51.0,3.0,19.0,24.0,16.0,16.0,14.0,12.0,2.0,14.0,37.0,2.0,63.0,27.0,5.0,27.0,11.0,27.0,2.0,21.0,28.0,4.0,168.0,5.0,18.0,9.0,22.0,36.0,26.0,5.0,49.0,23.0,11.0,57.0,47.0,4.0,11.0,9.0,4.0,9.0,2.0,9.0,60.0,15.0,23.0,0.0,2.0,3.0,12.0,126.0,102.0,9.0,12.0,9.0,12.0,6.0,57.0,9.0,14.0,2.0,164.0,8.0
2016-02-02,5.0,3.0,34.0,7.0,19.0,12.0,10.0,10.0,3.0,9.0,1.0,2.0,30.0,1.0,42.0,15.0,5.0,15.0,4.0,15.0,3.0,11.0,18.0,8.0,131.0,9.0,19.0,5.0,12.0,10.0,29.0,5.0,27.0,10.0,4.0,51.0,43.0,8.0,4.0,12.0,8.0,5.0,1.0,7.0,42.0,15.0,29.0,2.0,1.0,7.0,9.0,78.0,87.0,5.0,9.0,14.0,9.0,6.0,50.0,7.0,15.0,1.0,122.0,16.0
2016-02-03,5.0,3.0,36.0,7.0,22.0,10.0,13.0,13.0,10.0,9.0,2.0,6.0,37.0,2.0,42.0,14.0,5.0,14.0,3.0,14.0,4.0,27.0,15.0,8.0,168.0,9.0,22.0,27.0,8.0,17.0,42.0,5.0,22.0,18.0,3.0,68.0,63.0,8.0,3.0,10.0,8.0,27.0,2.0,12.0,50.0,14.0,13.0,0.0,2.0,7.0,9.0,104.0,86.0,27.0,9.0,4.0,9.0,7.0,63.0,4.0,9.0,2.0,144.0,24.0
2016-02-04,4.0,0.0,27.0,1.0,13.0,8.0,24.0,24.0,8.0,6.0,2.0,8.0,29.0,2.0,27.0,18.0,1.0,18.0,0.0,18.0,1.0,21.0,7.0,0.0,89.0,4.0,17.0,9.0,7.0,9.0,30.0,1.0,25.0,17.0,0.0,40.0,26.0,0.0,0.0,7.0,0.0,9.0,2.0,10.0,26.0,4.0,21.0,4.0,2.0,1.0,6.0,89.0,70.0,9.0,6.0,18.0,6.0,0.0,31.0,4.0,3.0,2.0,95.0,4.0
2016-02-05,2.0,3.0,16.0,9.0,9.0,18.0,8.0,8.0,11.0,6.0,1.0,9.0,33.0,1.0,19.0,6.0,4.0,6.0,13.0,6.0,0.0,16.0,5.0,3.0,106.0,4.0,20.0,10.0,1.0,25.0,21.0,4.0,7.0,15.0,13.0,50.0,37.0,3.0,13.0,9.0,3.0,10.0,1.0,11.0,38.0,3.0,17.0,1.0,1.0,9.0,6.0,75.0,60.0,10.0,6.0,10.0,6.0,4.0,23.0,1.0,7.0,1.0,101.0,11.0
2016-02-06,4.0,7.0,38.0,5.0,16.0,13.0,9.0,9.0,14.0,18.0,2.0,19.0,51.0,2.0,33.0,10.0,2.0,10.0,5.0,10.0,2.0,24.0,11.0,7.0,152.0,12.0,20.0,11.0,11.0,35.0,24.0,2.0,21.0,20.0,5.0,45.0,34.0,7.0,5.0,8.0,7.0,11.0,2.0,12.0,37.0,16.0,11.0,6.0,2.0,5.0,18.0,94.0,62.0,11.0,18.0,7.0,18.0,0.0,42.0,13.0,4.0,2.0,134.0,9.0
2016-02-07,4.0,0.0,27.0,12.0,7.0,17.0,3.0,3.0,7.0,6.0,1.0,23.0,40.0,1.0,48.0,9.0,5.0,9.0,3.0,9.0,2.0,24.0,19.0,5.0,124.0,3.0,14.0,11.0,16.0,27.0,8.0,5.0,25.0,7.0,3.0,37.0,41.0,5.0,3.0,8.0,5.0,11.0,1.0,6.0,21.0,11.0,17.0,0.0,1.0,12.0,6.0,84.0,62.0,11.0,6.0,4.0,6.0,3.0,47.0,3.0,13.0,1.0,97.0,7.0
2016-02-08,9.0,6.0,56.0,10.0,21.0,8.0,7.0,7.0,4.0,12.0,1.0,15.0,56.0,1.0,45.0,11.0,4.0,11.0,5.0,11.0,5.0,18.0,16.0,0.0,134.0,9.0,32.0,3.0,14.0,27.0,16.0,4.0,25.0,14.0,5.0,51.0,31.0,0.0,5.0,10.0,0.0,3.0,1.0,22.0,38.0,14.0,18.0,7.0,1.0,10.0,12.0,78.0,65.0,3.0,12.0,9.0,12.0,2.0,46.0,12.0,9.0,1.0,122.0,11.0
2016-02-09,3.0,7.0,35.0,10.0,6.0,11.0,14.0,14.0,13.0,9.0,0.0,4.0,14.0,0.0,40.0,15.0,2.0,15.0,12.0,15.0,11.0,26.0,9.0,0.0,126.0,3.0,7.0,13.0,8.0,25.0,29.0,2.0,23.0,17.0,12.0,48.0,37.0,0.0,12.0,1.0,0.0,13.0,0.0,6.0,23.0,28.0,16.0,4.0,0.0,10.0,9.0,87.0,81.0,13.0,9.0,10.0,9.0,1.0,49.0,10.0,6.0,0.0,122.0,22.0
2016-02-10,0.0,9.0,26.0,2.0,6.0,3.0,10.0,10.0,0.0,6.0,2.0,5.0,20.0,2.0,23.0,16.0,0.0,16.0,4.0,16.0,4.0,7.0,13.0,0.0,94.0,2.0,13.0,3.0,7.0,19.0,24.0,0.0,23.0,5.0,4.0,28.0,29.0,0.0,4.0,6.0,0.0,3.0,2.0,7.0,22.0,11.0,9.0,1.0,2.0,2.0,6.0,61.0,56.0,3.0,6.0,4.0,6.0,6.0,33.0,4.0,5.0,2.0,88.0,12.0
2016-02-11,9.0,3.0,44.0,6.0,24.0,14.0,17.0,17.0,7.0,15.0,2.0,10.0,23.0,2.0,35.0,19.0,2.0,19.0,14.0,19.0,6.0,14.0,15.0,7.0,164.0,4.0,9.0,27.0,11.0,28.0,34.0,2.0,30.0,20.0,14.0,78.0,47.0,7.0,14.0,0.0,7.0,27.0,2.0,9.0,55.0,16.0,16.0,2.0,2.0,6.0,15.0,107.0,79.0,27.0,15.0,11.0,15.0,4.0,45.0,7.0,5.0,2.0,129.0,12.0
2016-02-12,4.0,0.0,31.0,4.0,10.0,12.0,17.0,17.0,7.0,9.0,3.0,2.0,18.0,3.0,25.0,19.0,3.0,19.0,7.0,19.0,5.0,17.0,8.0,0.0,95.0,6.0,10.0,8.0,7.0,10.0,24.0,3.0,26.0,12.0,7.0,41.0,26.0,0.0,7.0,2.0,0.0,8.0,3.0,8.0,32.0,12.0,15.0,5.0,3.0,4.0,9.0,72.0,70.0,8.0,9.0,7.0,9.0,1.0,29.0,11.0,8.0,3.0,94.0,10.0
2016-02-13,10.0,9.0,37.0,11.0,17.0,11.0,20.0,20.0,17.0,6.0,2.0,6.0,32.0,2.0,54.0,20.0,4.0,20.0,11.0,20.0,7.0,22.0,16.0,4.0,145.0,4.0,22.0,12.0,11.0,29.0,24.0,4.0,31.0,20.0,11.0,51.0,31.0,4.0,11.0,9.0,4.0,12.0,2.0,13.0,33.0,19.0,16.0,0.0,2.0,11.0,6.0,101.0,98.0,12.0,6.0,3.0,6.0,5.0,34.0,3.0,13.0,2.0,154.0,10.0
2016-02-14,2.0,1.0,25.0,2.0,9.0,7.0,16.0,16.0,8.0,12.0,0.0,7.0,20.0,0.0,37.0,27.0,3.0,27.0,5.0,27.0,4.0,16.0,10.0,10.0,107.0,1.0,12.0,11.0,10.0,20.0,25.0,3.0,37.0,14.0,5.0,34.0,23.0,10.0,5.0,8.0,10.0,11.0,0.0,4.0,20.0,8.0,14.0,0.0,0.0,2.0,12.0,86.0,74.0,11.0,12.0,8.0,12.0,0.0,32.0,1.0,6.0,0.0,118.0,8.0
2016-02-15,7.0,7.0,25.0,3.0,13.0,15.0,5.0,5.0,6.0,9.0,1.0,6.0,20.0,1.0,52.0,20.0,5.0,20.0,10.0,20.0,4.0,24.0,9.0,2.0,107.0,6.0,8.0,8.0,9.0,26.0,19.0,5.0,29.0,12.0,10.0,32.0,43.0,2.0,10.0,2.0,2.0,8.0,1.0,6.0,32.0,13.0,13.0,6.0,1.0,3.0,9.0,89.0,77.0,8.0,9.0,4.0,9.0,0.0,47.0,6.0,9.0,1.0,106.0,15.0
2016-02-16,8.0,19.0,21.0,7.0,14.0,10.0,5.0,5.0,4.0,12.0,0.0,9.0,20.0,0.0,48.0,12.0,4.0,12.0,2.0,12.0,3.0,19.0,8.0,2.0,93.0,3.0,8.0,8.0,4.0,31.0,16.0,4.0,16.0,17.0,2.0,55.0,34.0,2.0,2.0,8.0,2.0,8.0,0.0,0.0,30.0,5.0,44.0,10.0,0.0,7.0,12.0,85.0,72.0,8.0,12.0,18.0,12.0,4.0,27.0,11.0,26.0,0.0,102.0,6.0
2016-02-17,6.0,5.0,23.0,3.0,12.0,11.0,7.0,7.0,7.0,0.0,0.0,12.0,35.0,0.0,39.0,12.0,0.0,12.0,11.0,12.0,2.0,13.0,12.0,4.0,107.0,5.0,18.0,3.0,7.0,31.0,15.0,0.0,19.0,8.0,11.0,33.0,36.0,4.0,11.0,9.0,4.0,3.0,0.0,9.0,25.0,16.0,24.0,0.0,0.0,3.0,0.0,74.0,71.0,3.0,0.0,16.0,0.0,5.0,34.0,4.0,8.0,0.0,115.0,8.0
2016-02-18,0.0,5.0,28.0,8.0,15.0,8.0,5.0,5.0,2.0,9.0,3.0,2.0,16.0,3.0,36.0,20.0,2.0,20.0,3.0,20.0,1.0,13.0,15.0,0.0,98.0,9.0,5.0,4.0,10.0,13.0,20.0,2.0,30.0,11.0,3.0,57.0,34.0,0.0,3.0,1.0,0.0,4.0,3.0,4.0,46.0,11.0,28.0,3.0,3.0,8.0,9.0,61.0,58.0,4.0,9.0,16.0,9.0,5.0,44.0,7.0,12.0,3.0,90.0,8.0
